"Début d'événement";"Type d'événement";"Lieu de l'événement";"Nom Organisme";"Type d'organisme";"Identifiant";"Style";"Categorie";"Genre";"Titre";"Texte Début";"Texte Milieu";"Texte Fin";"Commune";"Département";"Code INSEE";"Code Postal";"Coordonnées GPS";"Date Modification";"Jour Min";"Jour Max";"Tarif Mention Payant";"Tarif Général";"Tarif Réduit";"Tarif Autre";"Photo 1 Légende";"Photo 1 Crédit";"Photo 2 Légende";"Photo 2 Crédit";"Photo 3 Légende";"Photo 3 Crédit";"Age Minimum";"Liens Vidéos"
"2017-01-21";"Communiqué public";"44/Jans";"Ville de Jans";"Mairie";"5421782";"Vie quotidienne";"Autres communiqués des administrations (mairie...)";"Autre";"Distribution plaques numérotation voirie";"";"Suite à la numérotation des villages, les habitants de Jans pourront retirer leurs plaques de numérotation en mairie lors des permanences.";"Samedi 21, samedi 28 janvier, 9h à 12h, Mairie, 8, place de l'Église, Jans.";"Jans";"44";"44076";"44170";"47.62208, -1.612487";"2017-01-12";"2017-01-21";"2017-01-28";"non";"";"";"";"";"";"";"";"";"";"";""
"2017-01-22";"Religion";"44/Villeneuve-en-Retz";"paroisse Sainte-Croix-en-Retz";"Institution religieuse";"5393898";"Réunions formations cérémonies";"Cérémonie, commémoration, religions";"Messe";"Messe";"Dimanche 22 janvier, 9h30, Église de Fresnay-en-Retz, Villeneuve-en-Retz. Contact : 02 40 78 50 77, paroisse.stecroixenretz@orange.fr";"";"";"Villeneuve-en-Retz";"44";"44021";"44580";"47.02435, -1.875784";"2016-12-20";"2017-01-22";"2017-01-22";"non";"";"";"";"";"";"";"";"";"";"";""
"2017-01-22";"Cérémonie, commémoration";"44/Paulx";"paroisse Sainte-Croix-en-Retz";"Institution religieuse";"5393906";"Réunions formations cérémonies";"Cérémonie, commémoration, religions";"Célébration";"Assemblée de prière";"Dimanche 22 janvier, 10h, Église, Paulx. Contact : 02 40 78 50 77, paroisse.stecroixenretz@orange.fr";"";"";"Paulx";"44";"44119";"44270";"46.9614, -1.754614";"2016-12-20";"2017-01-22";"2017-01-22";"non";"";"";"";"";"";"";"";"";"";"";""
"2017-01-17";"Exposition, musée";"44/Besné";"Centre culturel Lucie-Aubrac, Service Vie Associative et Culturelle de la ville de Trignac";"Administration, service public, parapublic";"5412865";"Voir visiter";"Exposition, musée";"Exposition";"Folk en photos";"Exposition.";"Immersion en photos dans l’univers du festival Folk en scènes. Ouverture au public : mardi et vendredi de 15 h à 19 h, mercredi de 10 h à 12 h 30 et de 15 h à 18 h, samedi de 10 h à 12 h 30.";"Du mardi 17 janvier au samedi 4 février, Médiathèque George Sand, 25, rue de la Mairie, Besné. Gratuit. Contact : 02 40 61 76 35.";"Besné";"44";"44013";"44160";"47.39656, -2.092639";"2017-01-06";"2017-01-17";"2017-02-04";"non";"";"";"";"Expo Folk en Photos du 17/01 au 04/02 à Trignac";"Jacinte";"Expo Folk en Photos du 17/01 au 04/02 à Trignac";"baladenocturne.com - T.Poisson";"Expo Folk en Photos du 17/01 au 04/02 à Trignac";"baladenocturne.com - T.Poisson";"";""
"2016-10-22";"Sport";"44/Vallet";"association gymnastique volontaire";"Association";"5312408";"Loisirs et sports";"Sport";"Autre";"AGV Vallet marche nordique sport santé";"";"À l’aide de bâtons de marche, ce sport plein air, accessible au plus grand nombre, conjugue endurance et marche accélérée. Il reste encore des places dans le groupe, les séances motivantes et dynamiques ont lieu dans le secteur du vignoble sous les conseils avisés de l’animatrice certifiée.";"Jusqu'au samedi 17 juin 2017, 9h30, Vallet. Tarif 115€. Contact et réservation : 06 95 88 16 05, agvvallet@orange.fr, http://www.agv-vallet.fr";"Vallet";"44";"44212";"44330";"47.16111, -1.26498";"2016-10-24";"2016-10-22";"2017-06-17";"oui";"115";"";"";"Séance MNSS oct 2016";"AGV Vallet";"";"";"";"";"";""
"2017-01-06";"Multimédia";"44/Sainte-Pazanne";"bibliothèque municipale";"Équipement à but non lucratif (culture, sport et loisir)";"5376547";"Voir visiter";"Multimédia";"Multimédia";"Vendredis du multimedia";"Multimédia.";"Pour répondre à toutes les questions qui bloquent dans la pratique numérique. Gratuit; venir avec son propre matériel.";"Vendredi 6, vendredi 20 janvier 2017, 10h à 12h30, Bibliothèque municipale, Sainte-Pazanne. Contact : 02 40 02 69 13, bibliotheque@sainte-pazanne.com, www.bibliotheque-sainte-pazanne.net";"Sainte-Pazanne";"44";"44186";"44680";"47.10248, -1.803584";"2016-12-08";"2017-01-06";"2017-01-20";"non";"";"";"";"";"";"";"";"";"";"";""
"2017-01-21";"Jeux, concours";"44/Châteaubriant";"Association Handiflo";"Association";"5427451";"Loisirs et sports";"Jeux, concours, rallye";"Loto";"Loto";"";"Deux lotos organisés par l’association Handiflo et animés par ETS animation. Les bénéfices seront reversés à des structures accueillant des personnes handicapées. Des bons d’achat de 500 €, 400 € 200 € et 100 € (et beaucoup d’autres) sont à gagner.";"Samedi 21 janvier, 12h et 18h30, Halle de Béré, rue Brient-1er, Châteaubriant. Tarif 2 € la carte, 20 € les 10 cartes + 1 gratuite.";"Châteaubriant";"44";"44036";"44110";"47.71845, -1.391799";"2017-01-17";"2017-01-21";"2017-01-21";"oui";"";"";"2 € la carte, 20 € les 10 cartes + 1 gratuite";"";"";"";"";"";"";"";""
"2017-01-22";"Sport";"44/Les Touches";"Les Touches football-club";"Association";"5425222";"Loisirs et sports";"Sport";"Match";"Football-club";"";"Les Touches FC 2 (5e division) contre Nantes Saint-Pierre 3 à 15 h ; en déplacement, Les Touches FC (3e division) contre Nort-sur-Erdre Ac 3.";"Dimanche 22 janvier, Les Touches. Contact : http://lestouches44.monsite-orange.fr";"Les Touches";"44";"44205";"44390";"47.44217, -1.43094";"2017-01-16";"2017-01-22";"2017-01-22";"non";"";"";"";"Les Touches Football Club 5ème Division seniors B groupe G";"";"";"";"";"";"";""
"2017-01-22";"Sport";"44/Joué-sur-Erdre";"Etoile sportive jovéenne football";"Association";"5424339";"Loisirs et sports";"Sport";"Mémento sportif";"Etoile sportive jovéenne football";"Mémento sportif.";"Les seniors A reçoivent Loireauxence Belligné 3 à 15 h. À l'issue du match tous les parents, joueurs et bénévoles du club sont invités à partager la galette des Rois offerte par le club à partir de 18 h 30 à la salle de sports.";"Dimanche 22 janvier, Stade la Cornilleterie, Joué-sur-Erdre.";"Joué-sur-Erdre";"44";"44077";"44440";"47.51785, -1.477939";"2017-01-16";"2017-01-22";"2017-01-22";"non";"";"";"";"";"";"";"";"";"";"";""
"2017-01-21";"Sport";"44/Préfailles";"Corres. Le Courrier du Pays de Retz Pascal Leray";"autre";"5395154";"Loisirs et sports";"Sport";"Autre";"Séminaire de yoga";"";"Sur les pratiques de torsion. Animé par les docteurs Marie-Christine et Nicolas Le Berre.";"Du samedi 21 au dimanche 22 janvier, Espace culturel, rue du Docteur-Guépin, Préfailles. Contact : yogaharmonie44@orange.fr";"Préfailles";"44";"44136";"44770";"47.13018, -2.220429";"2016-12-21";"2017-01-21";"2017-01-22";"non";"";"";"";"";"";"";"";"";"";"";""
"2017-01-21";"Réunion, assemblée";"44/Saint-Michel-Chef-Chef";"association pour le don de sang bénévole, mairie";"Association";"5416365";"Réunions formations cérémonies";"Réunions, conseils, assemblées générales";"Assemblée générale";"Association pour le don de sang bénévole";"Assemblée générale. Samedi 21 janvier, 18h30, Salle Beauséjour, Saint-Michel-Chef-Chef.";"";"";"Saint-Michel-Chef-Chef";"44";"44182";"44730";"47.1823, -2.148009";"2017-01-10";"2017-01-21";"2017-01-21";"non";"";"";"";"";"";"";"";"";"";"";""
"2017-01-21";"Religion";"44/Saint-Nicolas-de-Redon";"paroisse Saint-Riowen et Saint-Méréal-sur-Vilaine";"Association";"5333267";"Réunions formations cérémonies";"Cérémonie, commémoration, religions";"Messe";"Messe";"Samedi 21 janvier, 18h, Église, Saint-Nicolas-de-Redon.";"";"";"Saint-Nicolas-de-Redon";"44";"44185";"44460";"47.64422, -2.068266";"2016-11-07";"2017-01-21";"2017-01-21";"non";"";"";"";"";"";"";"";"";"";"";""
"2017-01-20";"Conférence";"44/Saint-Sébastien-sur-Loire";"Terre des mondes, Connaissance du monde";"Autre organisme à but non lucratif";"5420698";"Voir visiter";"Conférence";"Conférence";"Le Pays Basque des Pyrénées Atlantiques à Bilbao de H. Crampette";"Conférence.";"De l’origine mystérieuse de ce peuple à la langue unique au monde, jusqu’à l’émergence d’un tourisme symbolisé par le surf, Hadrien montre la transformation de Biarritz, sa côte escarpée. Il vogue à travers l’économie de Bilbao, mène à San Sebastian, Bayonne, d’Espelette au sommet de la Rhune.";"Vendredi 20 janvier, 14h30, Cinéma Cinéville, rue Marie-Curie, Saint-Sébastien-sur-Loire. Tarif 9.50€, réduit 8.50€, autre : gratuit moins de 12 ans accompagnés d’un parent. Contact : 06 84 31 51 81, paysdeloire@connaissancedumonde.org, www.connaissancedumonde.com";"Saint-Sébastien-sur-Loire";"44";"44190";"44230";"47.18997, -1.487896";"2017-01-17";"2017-01-20";"2017-01-20";"oui";"9.50";"8.50";"gratuit moins de 12 ans accompagnés d’un parent";"";"Hadrien Crampette";"";"Hadrien Crampette";"";"";"";""
"2017-01-16";"Randonnée";"44/Saint-Brevin-les-Pins";"Les pieds futés";"Association";"5395653";"Loisirs et sports";"Sport";"Randonnée pédestre";"Les pieds futés";"Randonnée pédestre.";"Lundi, marche nordique sur la plage départ à 14 h de l’aire de jeux l’Océan. Mercredi, marche rapide les Rochelets départ à 18 h gare des Rochelets. Jeudi, randonnée à Préfailles départ à 14 h de l’Ancre de Marine. Samedi, marche nordique à Pornic départ à 9 h 30 le Pont-du-Clion.";"Du lundi 16 au samedi 21 janvier, Saint-Brevin-les-Pins. Contact : 06 63 07 29 29, piedsfutes@gmail.com, http://www.lespiedsfutes.com";"Saint-Brevin-les-Pins";"44";"44154";"44250";"47.24747, -2.169755";"2016-12-22";"2017-01-16";"2017-01-21";"non";"";"";"";"";"";"";"";"";"";"";""
"2017-01-09";"Formation, vie scolaire, concours";"44/Saint-Viaud";"école Saint-Vital";"Association";"5414912";"Réunions formations cérémonies";"Formation, vie scolaire, examens, concours";"Vie scolaire (inscriptions...)";"Inscriptions à l'école Saint-Vital";"";"Les parents qui souhaitent inscrire leur enfant pour la rentrée scolaire 2017-2018 peuvent le faire dès à présent. Le directeur se tient à la disposition des familles. Prendre rendez-vous par téléphone ou par courriel. Informations et document disponibles sur le site internet.";"Jusqu'au vendredi 7 juillet, École Saint-Vital, 5, rue Aimé-Bigeard, Saint-Viaud. Contact : 02 40 27 68 87, ec-st-vital@wanadoo.fr, http://st-viaud-saint-vital.fr";"Saint-Viaud";"44";"44192";"44320";"47.25778, -2.021099";"2017-01-09";"2017-01-09";"2017-07-07";"non";"";"";"";"";"";"";"";"";"";"";""
"2016-08-01";"Atelier, activité de loisirs";"44/Saint-Nazaire";"Maison de quartier Chesnaie";"Association";"5198559";"Loisirs et sports";"Atelier, activité de loisirs";"Autre";"Accompagnement Scolaire";"";"La Maison de Quartier de la Chesnaie - Trébale, recherche des bénévoles pour encadrer et accompagner les enfants du quartier dans leurs scolarité. Accompagnement scolaire primaire (CP - CM2), mardi et jeudi de 16 h 30 à 18 h. Accompagnement scolaire collège (de la 6è au lycée) lundi 17 h à 18 h.";"Jusqu'au jeudi 15 juin 2017, Maison de quartier Chesnaie-Trébale, espace civique, 1 bis, rue des Ajoncs, Saint-Nazaire. Gratuit. Contact : 02 28 55 99 90, mqchesnaie@wanadoo.fr, www.fmq-saintnazaire.fr";"Saint-Nazaire";"44";"44184";"44600";"47.26739, -2.249871";"2016-08-01";"2016-08-01";"2017-06-15";"non";"";"";"";"";"";"";"";"";"";"";""
"2017-01-20";"Réunion, assemblée";"44/Saint-Jean-de-Boiseau";"association les Courtines";"Association";"5403289";"Réunions formations cérémonies";"Réunions, conseils, assemblées générales";"Assemblée générale";"Association les Courtines";"Assemblée générale.";"Renouvellement de l'adhésion pour 2017, apporter les cartes d'adhérents, cotisation 15 €. Ouverture des portes 13 h 30, et dégustation de la galette des rois.";"Vendredi 20 janvier, 14h, Salle des fêtes, rue des Pierres-Blanches, Saint-Jean-de-Boiseau. Réservation : 02 40 04 56 96, 06 07 03 33 16.";"Saint-Jean-de-Boiseau";"44";"44166";"44640";"47.19017, -1.716792";"2016-12-30";"2017-01-20";"2017-01-20";"non";"";"";"";"";"";"";"";"";"";"";""
"2017-01-10";"Réunion, assemblée";"44/Pornichet";"Alfarepit (relais des aidants)";"Association";"5407400";"Réunions formations cérémonies";"Réunions, conseils, assemblées générales";"Réunion, débat, rencontre";"Relaxation Do in";"";"Proposée par Alfarepit. À destination des aidants. Apprendre à se masser et à respirer, pour se détendre.";"Mardi 10 janvier, mardi 7, mardi 14 février, 14h30 à 15h30, Halte répit, 2, avenue Flandre-Dunkerque, Pornichet. Contact et réservation : 02 40 66 94 58, contact@alfarepit.fr, www.alfarepit.fr";"Pornichet";"44";"44132";"44380";"47.25343, -2.330363";"2017-01-03";"2017-01-10";"2017-02-14";"non";"";"";"";"";"";"";"";"";"";"";""
"2017-01-20";"Réunion, assemblée";"44/Guémené-Penfao";"Union syndicale de la construction CGT";"Association";"5403679";"Réunions formations cérémonies";"Réunions, conseils, assemblées générales";"Réunion, débat, rencontre";"Informations sur les retraites";"";"Ordre du jour : droits à la retraite issue de la nouvelle loi ; rencontre ouverte aux salariés qui désirent obtenir des renseignements sur la retraite, la réversion, les impôts et la prévoyance ; rencontre animée par Albert Labarre, secrétaire départemental de la CGT.";"Vendredi 20 janvier, 14h30, Salle des fêtes nord, salle municipale, Guémené-Penfao.";"Guémené-Penfao";"44";"44067";"44290";"47.62867, -1.834333";"2017-01-02";"2017-01-20";"2017-01-20";"non";"";"";"";"";"";"";"";"";"";"";""
"2016-11-03";"Formation, vie scolaire, concours";"44/Port-Saint-Père";"école privée de l'Alliance";"Association";"5317113";"Réunions formations cérémonies";"Formation, vie scolaire, examens, concours";"Vie scolaire (inscriptions...)";"Inscriptions école de l'Alliance";"";"Inscriptions auprès de Mme Malenfant, la directrice, sous réserve de places disponibles.";"Du jeudi 3 novembre 2016 au mercredi 31 mai 2017, 1 et 14, rue du Fief-l'Abbé, Port-Saint-Père. Contact : 02 40 04 85 80, ecole.alliance.psps@gmail.com";"Port-Saint-Père";"44";"44133";"44710";"47.13173, -1.749434";"2016-10-26";"2016-11-03";"2017-05-31";"non";"";"";"";"";"";"";"";"";"";"";""
"2017-01-21";"Religion";"44/Loireauxence";"paroisse Saint-Benoît-en-Val-de-Loire";"Institution religieuse";"5401359";"Réunions formations cérémonies";"Cérémonie, commémoration, religions";"Messe";"Messe";"";"Paroisse Saint-Benoît-en-Val-de-Loire : samedi à 18 h à La Rouxière, dimanche à 9 h à Montrelais et à 11 h messe des familles à Varades.";"Samedi 21, dimanche 22 janvier, Loireauxence.";"Loireauxence";"44";"44213";"44370";"47.38486, -1.02918";"2016-12-28";"2017-01-21";"2017-01-22";"non";"";"";"";"";"";"";"";"";"";"";""
"2017-01-22";"Sport";"44/Saint-Joachim";"Saint-Joachim Brière, section football";"Association";"5425218";"Loisirs et sports";"Sport";"Mémento sportif";"Saint-Joachim Brière sports, football";"Mémento sportif.";"En championnat de D2, les seniors A du SJBS reçoivent La Madeleine-de-Guérande à 15 h.";"Dimanche 22 janvier, Complexe sportif des Isles, chaussée de Bais, Saint-Joachim.";"Saint-Joachim";"44";"44168";"44720";"47.38069, -2.195961";"2017-01-16";"2017-01-22";"2017-01-22";"non";"";"";"";"";"";"";"";"";"";"";""
"2017-01-17";"Spectacle";"44/Nantes";"le Grand T";"Équipement à but non lucratif (culture, sport et loisir)";"5175134";"Concerts, spectacles";"Autres scènes";"Théâtre";"F (l) ammes";"Théâtre.";"En 2015, dix jeunes hommes du Val Fourré rayonnaient sur la scène du Grand T dans Illumination (s). Ahmed Madani mets en lumière cette fois-ci la parole longtemps tue de jeunes femmes de quartiers. Nées de parents immigrés, et par-delà les visions médiatiques, découvrons-les.";"Du mardi 17 au mardi 24 janvier, Le Grand T, 84, rue du Général-Buat, Nantes. Tarif 25€, réduit 21€, autre : 12 €. Réservation : 02 51 88 25 25, billetterie@legrandt.fr, www.legrandt.fr";"Nantes";"44";"44109";"44000";"47.23013, -1.539711";"2016-07-07";"2017-01-17";"2017-01-24";"oui";"25";"21";"12 €";"";"© Suarsa";"";"";"";"";"";""
"2016-09-26";"Atelier, activité de loisirs";"44/Saint-Nazaire";"Maison de quartier Méan Penhoët";"Association";"5264417";"Loisirs et sports";"Atelier, activité de loisirs";"Dessin, peinture";"Maison de quartier de Méan Penhoët";"Dessin, peinture.";"Cet atelier repose sur une « liberté » picturale, chaque participant choisit sa technique (huile, acrylique, pastel sec, etc.), son sujet (photo, reproduction, nature morte, imaginaire), son support (papier, toile, carton toilé, etc.) et son format. Programme de l’année présenté à la 1re séance.";"Jusqu'au lundi 12 juin 2017, 14h30 à 16h30 et 17h30 à 19h, Maison de quartier, 1, rue Emiles-Combes, Saint-Nazaire. Tarif 210€, réduit 110€. Contact et réservation : 02 40 66 04 50, mqmeanpenhoet@wanadoo.fr";"Saint-Nazaire";"44";"44184";"44600";"47.27433, -2.21372";"2016-10-05";"2016-09-26";"2017-06-12";"oui";"210";"110";"";"";"";"";"";"";"";"";""
"2016-08-25";"Atelier, activité de loisirs";"44/Saint-Julien-de-Concelles";"l'Art de la matière";"Association";"5220946";"Loisirs et sports";"Atelier, activité de loisirs";"Cours";"Loisirs créatifs, couture, pâte polymère, mosaïque, fusion verre";"";"Formation de base et perfectionnement en couture, pâte polymère mosaïque, verre fusionné, loisirs créatif enfants et cours d'anglais interactif en multimédia par 5 créateurs concellois : Anaïs Blin, Babou Corbet, Bénédicte Bruneau, Sonia Le Cointe et Yannick Cormier.";"Jusqu'au vendredi 1er septembre 2017, 35, place de l'europe, Saint-Julien-de-Concelles. Payant. Inscription avant le 1er octobre. Contact : 02 40 54 12 61, 06 03 01 02 39, lartdelamatiere@gmail.com, www.lartdelamatiere.fr";"Saint-Julien-de-Concelles";"44";"44169";"44450";"47.25419, -1.38584";"2016-08-26";"2016-08-25";"2017-09-01";"oui";"";"";"";"Les artistes créateurs";"";"";"";"";"";"";""
"2016-09-23";"Horaire, permanence";"44/Bouaye";"café culturel l'Équipage";"Équipement à but non lucratif (culture, sport et loisir)";"5269527";"Vie quotidienne";"Horaires, ouverture, permanence";"Ouverture";"Café culturel l'Équipage";"Ouverture.";"Alexandre Feraga, chargé d'accueil au café et écrivain par ailleurs, est heureux de vous accueillir de 14 h à 19 h du mardi au vendredi jusqu'au 2 septembre, et de 12 h à 19 h du mardi au vendredi à compter du 6 septembre (ouverture du café par les bénévoles le samedi de 15 h à 18 h).";"Jusqu'au vendredi 30 juin 2017, 12h à 19h et 15h à 18h, Café culturel l'Équipage, 2, rue de Pornic, Bouaye. Contact : 02 28 07 58 72, www.lequipage@yahoo.fr, www.lequipage.jmdo.com";"Bouaye";"44";"44018";"44830";"47.14389, -1.69351";"2016-09-23";"2016-09-23";"2017-06-30";"non";"";"";"";"";"";"";"";"";"";"";""
