"Debut d'evenement";"Type d'evenement";"Lieu de l'evenement";"Nom Organisme";"Type d'organisme";"Identifiant";"Style";"Categorie";"Genre";"Titre";"Texte Debut";"Texte Milieu";"Texte Fin";"Commune";"Departement";"Code INSEE";"Code Postal";"Coordonnees GPS";"Jour Min";"Jour Max";"Tarif Mention Payant";"Tarif General";"Tarif Autre";"Age Minimum";"Mention Accessible Handicap";"Liens Billeteries";"Liens Videos"
"15/12/2016";"Atelier, activite de loisirs";"44/Nantes";"compagnie Paq'la lune";"Association";"5385488";"Loisirs et sports";"Atelier, activite de loisirs";"Autre";"Collecte de paroles, animations et apero soupe";"";"Organises par Paq'la lune. Les artistes de Portraits de quartiers rencontrent les habitants du quartier Nantes nord pour recolter leurs paroles precieuses sur le thème de ""Mon quartier : hier, aujourd'hui, demain"". Livres recettes, coin lecture de 14 h à 20 h.";"Jeudi 15 decembre, 9h à 12h30 et 14h à 16h, vendredi 16 decembre, 10h à 12h, Salle associative Winnipeg, 14, rue de la Coulee, Nantes. Gratuit. Contact et reservation : 09 51 33 63 79, nantes@paqlalune.fr, www.paqlalune.fr";"Nantes";"44";"44109";"44000";"47.26007, -1.576338";"15/12/2016";"16/12/2016";"non";"";"";"";"";"";""
"12/09/2016";"Atelier, activite de loisirs";"44/Nantes";"Danse latitude";"Association";"5221503";"Loisirs et sports";"Atelier, activite de loisirs";"Cours";"Danse Modern'jazz, New jazz, barre au sol et pilates";"";"Cours d'essai gratuit, en fonction des places disponibles, inscription par mail.";"Du lundi 12 septembre 2016 au samedi 17 juin 2017, Studio de danse, 20, rue de la Tour-d'Auvergne, Nantes. Contact : contact@danse-latitude.fr, www.danse-latitude.fr";"Nantes";"44";"44109";"44000";"47.21684, -1.55674";"12/09/2016";"17/06/2017";"non";"";"";"";"";"";""
"16/12/2016";"Spectacle";"44/Nantes";"theâtre 100-Noms";"Équipement à but non lucratif (culture, sport et loisir)";"5386264";"Concerts, spectacles";"Autres scènes";"Revue";"La revue des bananes « Panique à bord »";"Revue.";"Des rires en cascades, des chansons à mettre le feu, un deferlement de choregraphies endiablees dans le pur esprit du cabaret burlesque, une vague de magie et de la bonne humeur à tous les etages.";"Du vendredi 16 au dimanche 18 decembre, Theâtre 100-Noms, Hangar-à-Bananes, 21, quai des Antilles, Nantes. Tarif 25€, reduit 19€. Contact et reservation : 02 28 20 01 00, www.theatre100noms.com";"Nantes";"44";"44109";"44000";"47.20091, -1.573082";"16/12/2016";"18/12/2016";"oui";"25";"";"";"";"";""
"07/11/2016";"Horaire, permanence";"44/Nantes";"hôtel du Departement";"Administration, service public, parapublic";"5314377";"Vie quotidienne";"Horaires, ouverture, permanence";"Permanence";"Lyliane Jean, vice-presidente action sociale de proximite et insertion hôtel du Departement";"Permanence.";"Sur rendez-vous.";"Lundi 7 novembre 2016, lundi 5 decembre 2016, lundi 9 janvier 2017, 14h à 16h, Maison du quartier du Breil, 52, rue du Breil, Nantes. Contact et reservation : 02 40 99 10 18, isabelle.drouet@loire-atlantique.fr";"Nantes";"44";"44109";"44000";"47.22988, -1.586175";"07/11/2016";"09/01/2017";"non";"";"";"";"";"";""
"16/12/2016";"Concert";"44/Nantes";"le cafe Rouge-Mecanique";"Autre organisme à but non lucratif";"5209122";"Concerts, spectacles";"Concert, spectacle musical";"Rock";"Roman en solo et en acoustique";"Rock.";"Gaume : Timide sûrement, discret souvent, talentueux indeniablement, le charismatique leader aux yeux bleus vient avec ce 3e opus offrir plus qu'un album mais un double album, une veritable invitation à visiter les trefonds de son âme, sensible et ecorchee à la fois, tout aussi fragile que serein.";"Vendredi 16 decembre, 21h, Le cafe Rouge-Mecanique, 10, rue Bon-Secours, Nantes. Gratuit.";"Nantes";"44";"44109";"44000";"47.21346, -1.553543";"16/12/2016";"16/12/2016";"non";"";"";"";"";"";""
"16/12/2016";"Spectacle";"44/Nantes";"theâtre Beaulieu, compagnie Même pas cap";"Association";"5236154";"Concerts, spectacles";"Autres scènes";"Theâtre";"« Panique au Plazza » de Ray Cooney, compagnie Même pas cap";"Theâtre.";"Vaudeville de chez vaudeville, avec ses classiques portes et fenêtres qui claquent, ses mensonges à tiroir, ses penderies de secours, Panique au Plazza vous oblige à renoncer à tout bon sens. Un moment de pure folie à deguster sans moderation.";"Vendredi 16 decembre, 20h45, samedi 17 decembre, 20h45, dimanche 18 decembre, 15h45, Theâtre Beaulieu, 9, boulevard Vincent-Gâche, Nantes. Tarif 16€. Contact : 02 49 10 63 10, contact@theatrebeaulieu.fr, www.theatrebeaulieu.fr";"Nantes";"44";"44109";"44000";"47.20642, -1.542222";"16/12/2016";"18/12/2016";"oui";"16";"";"";"Moteur";"";""
"15/12/2016";"Spectacle";"44/Nantes";"la compagnie du Cafe-Theâtre";"Équipement à but non lucratif (culture, sport et loisir)";"5366488";"Concerts, spectacles";"Autres scènes";"Cafe-theâtre";"Mehla, Fat and furious";"Cafe-theâtre.";"Un spectacle qui ne sera pas en anglais, qui ne parlera pas de l’Algerie (un exploit pour son auteur), ni du metro, où vous n’entendrez aucun accent, mais qui contiendra probablement les mots catechisme et frigo.";"Du jeudi 15 au samedi 17 decembre, 19h à 20h30, La compagnie du Cafe-Theâtre, 6, rue des Carmelites, Nantes. Tarif 15€, reduit 10€. Reservation avant le 15 decembre. Contact : 02 40 89 65 01, infos@lacompagnieducafetheatre.fr, http://www.nantes-spectacles.com/cie865-melha.html";"Nantes";"44";"44109";"44000";"47.21656, -1.551213";"15/12/2016";"17/12/2016";"oui";"15";"";"";"";"";""
"15/12/2016";"Acheter, chiner";"44/Nantes";"Bethleem Arco Iris";"Association";"5386243";"Acheter, chiner";"Marches";"Marche de Noël";"Marche de Noël";"";"Vente d'artisant colombien et de specialites colombiennes au profit de l'association Bethleem Arco Iris qui aide les enfants en France et en Colombie avec les soeurs du Carmel Apostolique Notre-Dame de Bethleem.";"Du jeudi 15 au jeudi 22 decembre, 14h à 18h, Bethleem, 4, rue Censive-du-Tertre, Nantes. Contact : 02 40 74 19 27.";"Nantes";"44";"44109";"44000";"47.24187, -1.553092";"15/12/2016";"22/12/2016";"non";"";"";"";"";"";""
"17/12/2016";"Concert";"44/Nantes";"le cafe Rouge-Mecanique";"Autre organisme à but non lucratif";"5288603";"Concerts, spectacles";"Concert, spectacle musical";"Rock";"L'arnaque avec Rimo";"Rock. Samedi 17 decembre, 21h, Le cafe Rouge-Mecanique, 10, rue Bon-Secours, Nantes. Gratuit.";"";"";"Nantes";"44";"44109";"44000";"47.21346, -1.553543";"17/12/2016";"17/12/2016";"non";"";"";"";"";"";""
"02/12/2016";"Exposition, musee";"44/Nantes";"Haus";"Association";"5365577";"Voir visiter";"Exposition, musee";"Exposition";"Michael Roy « I remember. Je me souviens »";"Exposition.";"L’œuvre de Michael Roy a la particularite de faire sans être faite. Des films sans camera, une œuvre basee sur une image ou un texte preexistant, une fiction basee sur d’autres fictions.";"Du vendredi 2 au vendredi 16 decembre, 18h30, Haus, 40, rue la Noue-Bras-de-Fer, Nantes. Gratuit. Contact : contact@haus-block.fr, https://www.facebook.com/HAUS.BLOCK/";"Nantes";"44";"44109";"44000";"47.20679, -1.563978";"02/12/2016";"16/12/2016";"non";"";"";"";"Auditif|Mental";"";""
"16/12/2016";"Concert";"44/Nantes";"le Filtre à sons";"Association";"5387527";"Concerts, spectacles";"Concert, spectacle musical";"Electro";"Soiree sauvage avec Sauvagerie production et le Filtre à sons";"Electro.";"Avec Valeskja Valcav, Les modules etranges, Eka faune, Vinaï, Gabriel Vogel, danse d’Émilie Barteau. Mix, expo serigraphies, visuels et projection par Guyseika.";"Vendredi 16 decembre, 20h, Ateliers de Bitche, 3, rue de Bitche, Nantes. Tarif prix libre. Contact et reservation : 06 71 44 25 95, lefiltre.a.sons@gmail.com, www.lefiltreasons.com";"Nantes";"44";"44109";"44000";"47.21257, -1.541259";"16/12/2016";"16/12/2016";"oui";"";"prix libre";"";"";"";""
"17/12/2016";"Visite";"44/Nantes";"Grand patrimoine de Loire-Atlantique";"Équipement à but non lucratif (culture, sport et loisir)";"5290282";"Voir visiter";"Sorties, visites (monuments, parcs, zoo,...)";"Visite";"Visite guidee : l'ecrin du coeur d'Anne de Bretagne en 3D";"";"Le fabuleux ecrin en or est presente actuellement dans l'exposition Voyage dans les collections, acte 2. Admirer et decouvrir son histoire grâce à une application 3D sur ecran tactile. Manipulation virtuelle et en comprendre la fabrication et la symbolique. Duree : 45 min.";"Samedi 17 decembre, 15h, Musee Dobree, 18, rue Voltaire, Nantes. Tarif 3€, reduit 2€, autre : gratuit pour les moins de 14 ans accompagnes et les visiteurs en situation de handicap. Contact et reservation : 02 40 71 05 79, musee.dobree@loire-atlantique.fr, http://grand-patrimoine.loire-atlantique.fr/exposition-voyage";"Nantes";"44";"44109";"44000";"47.21204, -1.566282";"17/12/2016";"17/12/2016";"oui";"3";"gratuit pour les moins de 14 ans accompagnes et les visiteurs en situation de handicap.";"";"";"";""
"13/12/2016";"Visite";"44/Nantes";"Grand patrimoine de Loire-Atlantique";"Équipement à but non lucratif (culture, sport et loisir)";"5176391";"Voir visiter";"Sorties, visites (monuments, parcs, zoo,...)";"Visite";"Visite de l'exposition Voyage dans les collections - acte 2";"";"Visite guidee pour decouvrir ou redecouvrir la richesse et l'eclectisme des collections du musee Dobree au travers de plus de 350 œuvres. Duree : 1 h.";"Du mardi 13 au dimanche 18 decembre, 16h, Musee Dobree, 18, rue Voltaire, Nantes. Tarif 3€, reduit 2€, autre : gratuit pour les moins de 14 ans accompagnes et les visiteurs en situation de handicap. Contact et reservation : 02 40 71 05 79, musee.dobree@loire-atlantique.fr, http://grand-patrimoine.loire-atlantique.fr/exposition-voyage";"Nantes";"44";"44109";"44000";"47.21204, -1.566282";"13/12/2016";"18/12/2016";"oui";"3";"gratuit pour les moins de 14 ans accompagnes et les visiteurs en situation de handicap.";"";"";"";""
"17/12/2016";"Concert";"44/Nantes";"cafe culturel le Zygo bar";"Équipement à but non lucratif (culture, sport et loisir)";"5365734";"Concerts, spectacles";"Concert, spectacle musical";"Autre";"Havana Si (musique cubaine traditionnelle)";"Samedi 17 decembre, 21h, Le Zygo bar, 35, rue des Olivettes, Nantes. Tarif 5€.";"";"";"Nantes";"44";"44109";"44000";"47.21088, -1.54894";"17/12/2016";"17/12/2016";"oui";"5";"";"";"";"";""
"16/12/2016";"Concert";"44/Nantes";"cafe culturel le Zygo bar";"Équipement à but non lucratif (culture, sport et loisir)";"5365727";"Concerts, spectacles";"Concert, spectacle musical";"Autre";"The Doo-doo chasers";"";"Funk.";"Vendredi 16 decembre, 21h, Le Zygo bar, 35, rue des Olivettes, Nantes. Gratuit.";"Nantes";"44";"44109";"44000";"47.21088, -1.54894";"16/12/2016";"16/12/2016";"non";"";"";"";"";"";""
"18/12/2016";"Visite";"44/Nantes";"le Voyage à Nantes, direction du developpement touristique";"Office de tourisme, syndicat d'initiative";"5281190";"Voir visiter";"Sorties, visites (monuments, parcs, zoo,...)";"Visite";"Promenade nantaise";"";"L'essentiel de Nantes en 2 h du château des Ducs-de-Bretagne à l'île Feydeau, aux quais de Bretagne sans manquer le passage Pommeraye et la nouvelle place Graslin.";"Dimanche 18, lundi 19 decembre, 14h30, Nantes tourisme, 9, rue des États, Nantes. Tarif 7€, reduit 4€, autre : gratuit pour les moins de 12 ans et avec le pass Nantes. Contact et reservation : 08 92 46 40 44, info@nantes-tourisme.com, www.nantes-tourisme.com";"Nantes";"44";"44109";"44000";"47.21571, -1.550578";"18/12/2016";"19/12/2016";"oui";"7";"gratuit pour les moins de 12 ans et avec le pass Nantes";"";"";"";""
"16/12/2016";"Visite";"44/Nantes";"le Voyage à Nantes, direction du developpement touristique";"Office de tourisme, syndicat d'initiative";"5281185";"Voir visiter";"Sorties, visites (monuments, parcs, zoo,...)";"Visite";"Promenade nantaise";"";"L'essentiel de Nantes en 2 h du château des Ducs-de-Bretagne à l'île Feydeau, aux quais de Bretagne sans manquer le passage Pommeraye et la nouvelle place Graslin.";"Vendredi 16 decembre, 14h30, Nantes tourisme, 9, rue des États, Nantes. Tarif 7€, reduit 4€, autre : gratuit pour les moins de 12 ans et avec le pass Nantes. Contact et reservation : 08 92 46 40 44, info@nantes-tourisme.com, www.nantes-tourisme.com";"Nantes";"44";"44109";"44000";"47.21571, -1.550578";"16/12/2016";"16/12/2016";"oui";"7";"gratuit pour les moins de 12 ans et avec le pass Nantes";"";"";"";""
"16/12/2016";"Visite";"44/Nantes";"le Voyage à Nantes, direction du developpement touristique";"Office de tourisme, syndicat d'initiative";"5284166";"Voir visiter";"Sorties, visites (monuments, parcs, zoo,...)";"Visite";"Nantes medievale : visite sensorielle";"";"Observer le château à la longue vue, se laisser guider à la voix dans le square de la Psalette, admirer les hauteurs de la cathedrale dans un miroir. Plus qu'une simple visite, c'est une experience à vivre dans le quartier moyenâgeux.";"Vendredi 16 decembre, 10h30, Nantes tourisme, 9, rue des États, Nantes. Tarif 7€, reduit 4€, autre : gratuit pour les moins de 12 ans et avec le pass Nantes. Contact et reservation : 08 92 46 40 44, info@nantes-tourisme.com, www.nantes-tourisme.com";"Nantes";"44";"44109";"44000";"47.21567, -1.550749";"16/12/2016";"16/12/2016";"oui";"7";"gratuit pour les moins de 12 ans et avec le pass Nantes.";"";"";"";""
"18/12/2016";"Concert";"44/Nantes";"le Nid";"Équipement à but non lucratif (culture, sport et loisir)";"5352233";"Concerts, spectacles";"Concert, spectacle musical";"Jazz";"La Sundy de Christmas In Jazz";"Jazz.";"Un Père Noël à 4 têtes : Valery Haumont (chant et batterie), Pierre-Yves Merel (saxophone), Guillaume Hazebrouck (piano) Simon Mary (contrebasse). Jazz Standards & American Christmas songs... Un avant-goût de Noël au son du Jazz...";"Dimanche 18 decembre, 19h, Le Nid, Nantes. Tarif 1€. Contact : 02 40 35 36 49, proglenid@gmail.com, https://www.facebook.com/SundyAuNid";"Nantes";"44";"44109";"44000";"47.21791, -1.558524";"18/12/2016";"18/12/2016";"oui";"1";"";"";"";"";""
"01/10/2016";"Spectacle";"44/Nantes";"Reze seniors, office municipal des retraites";"Association";"5278450";"Concerts, spectacles";"Autres scènes";"Theâtre";"Reze Seniors propose en partenariat avec le theâtre Beaulieu";"Theâtre.";"Panique au Plazza.";"Du samedi 1er octobre 2016 au dimanche 15 janvier 2017, 15h45 et 20h30, Theâtre Beaulieu, 9 Boulevard Vincent Gâche, Nantes. Tarif 14€, autre : adherent. Contact et reservation : 02 49 10 63 10, contact@theatrebeaulieu.fr";"Nantes";"44";"44109";"44000";"47.2061, -1.542763";"01/10/2016";"15/01/2017";"oui";"14";"adherent";"";"";"";""
"17/12/2016";"Formation, vie scolaire, concours";"44/Nantes";"union regionale des Francas, service formation habilitee";"Association";"5335391";"Reunions formations ceremonies";"Formation, vie scolaire, examens, concours";"Formation";"Formation Bafa";"Organisateur : Union regionale des Francas, service formation habilitee.";"Stages proposes par les Francas des Pays de la Loire, en demi-pension dans les departements 44, 49, 53, 72 et un en internat à Murs-Erigne le 24 decembre, le stage se terminera à 16 h.";"Du samedi 17 au samedi 24 decembre, Les Francas, 37, rue de la Tour-d'Auvergne, Nantes. Payant. Contact et reservation : 02 51 25 08 50, 02 51 25 08 47, fflan@francas-pdl.asso.fr, www.francaspaysdelaloire.fr";"Nantes";"44";"44109";"44000";"47.20576, -1.558656";"17/12/2016";"24/12/2016";"oui";"";"";"";"";"";""
"17/12/2016";"Spectacle";"44/Nantes";"salle Vasse";"Équipement à but non lucratif (culture, sport et loisir)";"5191570";"Concerts, spectacles";"Autres scènes";"Danse";"Les Discrets - Choregraphie Herve Maigret";"Danse.";"Pour fêter la millième representation, la compagnie ngc25 - Herve Maigret, creee en 1998, joue l’une de ses pièces majeures : « Les Discrets ». Qui sont-ils, seul, à deux, à trois dans le labyrinthe de leur jardin secret ? Herve Maigret explore ce que peut être une relation à trois.";"Samedi 17 decembre, 20h30, Salle Vasse, 18, rue Colbert, Nantes. Tarif 8€. Contact et reservation : ngc25@ngc25.com, www.sallevasse.fr";"Nantes";"44";"44109";"44000";"47.21532, -1.568971";"17/12/2016";"17/12/2016";"oui";"8";"";"";"Auditif|Mental|Moteur";"";""
"26/09/2016";"Formation, vie scolaire, concours";"44/Nantes";"Centre hospitalier universitaire (Chu), Departement des instituts de formation (Dif)";"Administration, service public, parapublic";"5142430";"Reunions formations ceremonies";"Formation, vie scolaire, examens, concours";"Formation";"Preparation aux epreuves de selection dans les IFAS et les IFAP";"Organisateur : L'IFMA du CHU de Nantes du Departement des instituts de formation (Dif).";"L'IFMA forme les candidats à la preparation des epreuves de selection en vue de l'admission dans les instituts de formation d'aides-soignants et d'auxiliaires de puericulture. L'IFMA s'adapte aux besoins et propose 3 formules differentes (voir site www.chu-nantes.fr, se former au CHU).";"Du lundi 26 septembre 2016 au mercredi 8 fevrier 2017, 8h30 à 17h, Plateau des ecoles, Ifma, 50, route de Saint-Sebastien, Nantes. Inscription avant le 31 août. Contact : 02 40 84 68 14, secretariat.ifma@chu-nantes.fr, www.chu-nantes.fr";"Nantes";"44";"44109";"44000";"47.19977, -1.531342";"26/09/2016";"08/02/2017";"non";"";"";"";"";"";""
"17/12/2016";"Reunion, assemblee";"44/Nantes";"Allo anorexie boulimie 44 et departements limitrophes (AAB44), soutien aux familles";"Association";"5354869";"Reunions formations ceremonies";"Reunions, conseils, assemblees generales";"Reunion, debat, rencontre";"Anorexie-boulimie (AAB44) : groupe de parole mensuel des familles";"";"Familles, sortez de l'isolement !Confidentialite .Une aide efficace. Accueil dès 10 h. Groupe ouvert, pas de reservation, chaque 3e samedi. Objectifs : accueillir, soutenir, echanger , informer, orienter, prêt de livres. Permanence telephonique le lundi de 18 h 30 à 20 h et samedi de 10 h à 11 h 30.";"Samedi 17 decembre, 10h30 à 12h, Locaux associatifs quartier Saint-Felix, 39, rue Felix-Thomas, salle E, Nantes. Gratuit. Contact : 06 40 42 93 89, aab44@orange.fr, www.allo-anorexie-boulimie-44.com";"Nantes";"44";"44109";"44000";"47.23108, -1.553042";"17/12/2016";"17/12/2016";"non";"";"";"";"Visuel|Moteur";"";""
"17/12/2016";"Spectacle";"44/Nantes";"le theâtre de Jeanne";"Équipement à but non lucratif (culture, sport et loisir)";"5128076";"Concerts, spectacles";"Autres scènes";"Contes";"Alice et l'elixir de bonheur";"Contes.";"Comedie à partir de 3 ans. Dans cette aventure inedite, Alice, aidee de Nounours et de la poupee Zoe, va chercher un nouveau moyen magique de remedier à la morosite de maman. Ce nouveau sortilège se trouve-t-il dans le grand livre de magie que cache sa maîtresse d'ecole dans la salle de classe ?";"Samedi 17 decembre, 16h, dimanche 18 decembre, 15h, lundi 19 decembre, 14h30 et 16h, Le theâtre de Jeanne, 5, rue des Salorges, Nantes. Tarif 8€. Contact et reservation : 06 99 10 76 05, resa.theatredejeanne@gmail.com, www.theatre-jeanne.com";"Nantes";"44";"44109";"44000";"47.2046, -1.575567";"17/12/2016";"19/12/2016";"oui";"8";"";"";"Auditif|Visuel|Mental|Moteur";"";""
"21/10/2016";"Exposition, musee";"44/Nantes";"le Lieu-Unique";"Équipement à but non lucratif (culture, sport et loisir)";"5163488";"Voir visiter";"Exposition, musee";"Exposition";"Le vide et la lumière";"Exposition.";"Dmitry Gelfand et Evelina Domnitch creent des environnements sensoriels immersifs mêlant physique, chimie et informatique. Habitues de grands rendez-vous internationaux d’art technologique, ils presentent au Lieu-Unique leur première exposition personnelle en France.";"Du vendredi 21 octobre 2016 au dimanche 8 janvier 2017, 14h à 19h, Le Lieu-Unique, quai Ferdinand-Favre, Nantes. Gratuit. Contact : 02 40 12 14 34, www.lelieuunique.com";"Nantes";"44";"44109";"44000";"47.21558, -1.545569";"21/10/2016";"08/01/2017";"non";"";"";"";"";"";""
"07/07/2016";"Action caritative";"44/Nantes";"Astree";"Association";"5174293";"Vie quotidienne";"Quête, vente caritative, appel aux dons";"Operation solidarite";"Astree";"Operation solidarite.";"Astree, association reconnue d'utilite publique, propose de former et encadrer les personnes qui souhaitent devenir benevoles pour pratiquer des accompagnements individualises bases sur l'ecoute active auprès de personnes fragilisees (1 h 30 par semaine et 2 h de reunion par mois).";"Jusqu'au lundi 7 août 2017, 9h à 12h30 et 13h30 à 17h, Nantes. Contact et reservation : 02 28 08 05 82, 06 21 49 60 64, nantes@astree.asso.fr, www.astree.asso.fr";"Nantes";"44";"44109";"44000";"47.21684, -1.55674";"07/07/2016";"07/08/2017";"non";"";"";"";"";"";""
