Début d'événement;Type d'événement;Ident Type;Lieu de l'événement;Nom Organisme;Type d'organisme;Ident Organisme;Identifiant;Etat;Theme;Style;Categorie;Genre;Ident Genre;Titre;Texte Début;Texte Milieu;Texte Fin;Commune;Département;Code INSEE;Code Postal;Coordonnées GPS;Date Modification;Jour 1;Jour 2;Jour 3;Jour Du;Jour Au;Jour Min;Jour Max;Tarif Mention Gratuit;Tarif Mention Payant;Tarif Général;Tarif Réduit;Tarif Autre;Photo 1 Chemin;Photo 1 Légende;Photo 1 Crédit;Photo 2 Chemin;Photo 2 Légende;Photo 2 Crédit;Photo 3 Chemin;Photo 3 Légende;Photo 3 Crédit;Age Minimum;Age Maximum;Duree;Mention Complet;Mention Accessible Handicap;Liens Billeteries;Liens Vidéos;Liens Sons;Liens Dossiers de Presse;Tags;Groupes;Texte Libre Court;Texte Libre Long
10/11/2016;Religion;50;61/Alençon;Paroisse Notre-Dame au pays d'Alençon;Institution religieuse;39407;5331972;V;Pratique;Réunions formations cérémonies;Cérémonie, commémoration, religions;Vie paroissiale;273;Prière;Jeudi 10 novembre, 17h, Chapelle du CPO, rue Anne-Marie-Javouhey, Alençon.;;;Alençon;61;61001;61000;48.43222, 0.07915881;04/11/2016;10/11/2016;;;;;10/11/2016;10/11/2016;non;non;;;;;;;;;;;;;;;;;;;;;;;;;
07/11/2016;Cérémonies, commémorations;38;61/Alençon;Paroisse Notre-Dame au pays d'Alençon;Institution religieuse;39407;5304211;V;Pratique;Réunions formations cérémonies;Cérémonie, commémoration, religions;Célébration;107;Offices de la semaine;;"Laudes : 7 h 30, Maison Martin ; mardi, 8 h 05, Clarisses. Vêpres : jeudi, 18 h, Maison Martin ; vendredi, 18 h 10, basilique. Adoration : mercredi 17 h 15, basilique ; vendredi 17 h, Clarisses. Chapelet : vendredi 17 h 30, basilique. Confessions : jeudi 10 h 30 ; samedi, 16 h-17 h, basilique.";Du lundi 7 au samedi 12 novembre, Alençon.;Alençon;61;61001;61000;48.43065, 0.08362;18/10/2016;;;;07/11/2016;12/11/2016;07/11/2016;12/11/2016;non;non;;;;;;;;;;;;;;;;;;;;;;;;;
01/09/2016;Portes ouvertes;33;61/Alençon;Cité des Métiers;Association;329681;5233100;V;Loisir;Voir visiter;Portes ouvertes, forums;Portes ouvertes, forums;146;Cité des métiers;;La Cité des métiers est ouverte à tout public pour se renseigner sur les formations, mais aussi pour s’orienter sur les métiers.;Jusqu'au vendredi 30 juin 2017, 9h à 12h30 et 13h30 à 17h, 2, rue de la Halle-aux-Toiles, Alençon. Contact : 02 33 80 87 17, maeva.citedesmetiers@gmail.com;Alençon;61;61001;61000;48.43065, 0.08362;01/09/2016;;;;01/09/2016;30/06/2017;01/09/2016;30/06/2017;non;non;;;;http://photos.infolocale.fr/infolocale/annonce/2016/0901/5233100/_1.jpg;;;;;;;;;;;;;Moteur;;;;;;;;
11/11/2016;Réunions, assemblées;17;61/Alençon;Ensemble folklorique le Point d'Alençon;Association;127058;5325681;V;Pratique;Réunions formations cérémonies;Réunions, conseils, assemblées générales;Assemblée générale;100;Ensemble folklorique Le Point d'Alençon;Assemblée générale. Vendredi 11 novembre, 9h30, Salle de danse, 25, rue des Tisons, Alençon.;;;Alençon;61;61001;61000;48.43065, 0.08362;02/11/2016;11/11/2016;;;;;11/11/2016;11/11/2016;non;non;;;;;;;;;;;;;;;;;;;;;;;;;
09/11/2016;Sports;24;61/Alençon;Club intergénérations Les amitiés de Lancrel;Association;42285;5318149;V;Loisir;Loisirs et sports;Sport;Autre;118;Club intergénérations les Amitiés de Lancrel;Gymnastique douce.;Reprise des séances tous les mercredis sauf pendant les vacances scolaires. La première séance est gratuite.;Mercredi 9 novembre, 18h, 8, rue du Moulin-de-Lancrel, Alençon. Tarif 2.50€. Contact : 02 33 26 52 56.;Alençon;61;61001;61000;48.43586, 0.07855799;26/10/2016;09/11/2016;;;;;09/11/2016;09/11/2016;non;oui;2.50;;;;;;;;;;;;;;;;;;;;;;;;
26/10/2016;Ateliers, activités de loisirs;31;61/Alençon;Club intergénérations Les amitiés de Lancrel;Association;42285;5318166;V;Loisir;Loisirs et sports;Atelier, activité de loisirs;Autre;141;Club intergénérations les Amitiés de Lancrel;Règlement de la cotisation.;Les adhérents et les personnes intéressées sont invités à régler la cotisation annuelle avant l'assemblée générale du 2 décembre. Elle permet de profiter de nombreuses sorties à des prix intéressants et des activités (sauf la gym, 2,50 € par séance).;Jusqu'au vendredi 2 décembre, 8, rue du Moulin-de-Lancrel, Alençon. Tarif 25€. Inscription avant le 2 décembre. Contact : 02 33 26 52 56.;Alençon;61;61001;61000;48.43586, 0.07855799;26/10/2016;;;;26/10/2016;02/12/2016;26/10/2016;02/12/2016;non;oui;25;;;;;;;;;;;;;;;;;;;;;;;;
10/11/2016;Concerts;15;61/Alençon;La Luciole, scène de musiques actuelles;Association;170552;5156341;V;Loisir;Concerts, spectacles;Concert, spectacle musical;Chanson;6;Arno et Fernand Pena en 1re partie;;Peu enclin au futur qui se profile à l’horizon, Arno chante ses doutes et ses révoltes contre l’extrémisme et le conservatisme qui, insidieusement, se faufilent au plus près de nous, dans un monde où tout est devenu possible, le meilleur comme le pire.;Jeudi 10 novembre, 21h, La Luciole, 171, rue de Bretagne, Alençon. Tarif 28€, réduit 22€, autre : Prévente : 25 € : Tarif solidaire : 9 €. Contact et réservation : 02 33 32 83 33, infos@laluciole.org, http://www.laluciole.org;Alençon;61;61001;61000;48.4327, 0.0686556;23/06/2016;10/11/2016;;;;;10/11/2016;10/11/2016;non;oui;28;22;Prévente : 25 € : Tarif solidaire : 9 €;http://photos.infolocale.fr/infolocale/annonce/2016/0623/5156341/_1.jpg;Arno;©DannyWillems;;;;;;;;;;False;Visuel|Mental|Moteur;http://www.laluciole.org/billetterie/billetterie-en-ligne/;https://www.youtube.com/watch?v=zDc3wLNzdYs|https://www.youtube.com/watch?v=EQPjeweWk7w&feature=youtu.be;;;;;;A l'instar d'artistes visionnaires comme Serge Gainsbourg, ARNO, charismatique poète Flamand d'Ostende et auteur d'une discographie impressionnante qui couvre les 35 dernières années, n'a de cesse d'observer les évolutions de notre société pour en faire tout un bazar dans lequel se nichent des chansons brûlantes, lucides et crues, sur des musiques taillées au plus près d'un rock rageur et classieux. Peu enclin au futur qui se profile à l'horizon, ARNO chante ses doutes et ses révoltes contre l'extrémisme et le conservatisme qui, insidieusement, se faufilent au plus près de nous, dans un monde où tout est devenu possible, le meilleur comme le pire. D'une belle sagesse nourrie d'une grande sensibilité créative, ARNO se plait à cultiver des parenthèses dans une démarche indépendante et singulière qui le démarque de tout intérêt commercial, mais qui, surtout, lui offre la liberté de dire des vérités qui sont bonnes à entendre et qu'il nous claque à la figure, avec une malicieuse sincérité. Sculptant les mots et les musiques comme autant de remparts faisant front aux états d'urgences, ARNO sait mieux que quiconque vous saisir dans ses bras ou vous arracher le cœur par des chansons d'amour dont lui seul a le secret. Dans cet univers délicieusement décalé où l'odeur de la mer garde un parfum apaisant, ARNO traine son spleen dans des valises qu'il n'est pas près de poser.
14/10/2016;Expositions, musées;23;61/Alençon;Office départemental de la culture;Équipement à but non lucratif (culture, sport et loisir);36181;5261963;V;Loisir;Voir visiter;Exposition, musée;Exposition;149;Le FDAC fête ses 30 ans;Exposition.;Le Fond départemental d’art contemporain est une collection publique qui propose plus de trois cents œuvres acquises auprès de quatre-vingt-quatorze artistes. Découvrir tous les artistes qui constituent ce fond. Ouvert à tout public.;Du vendredi 14 octobre 2016 au dimanche 29 janvier 2017, 9h à 17h30 et 14h30 à 18h, Archives départementales, 8, avenue de Basingstoke, Alençon. Gratuit. Contact : 02 33 81 60 00, 02 33 31 90 90, www.odc-orne.com;Alençon;61;61001;61000;48.43592, 0.0890776;19/09/2016;;;;14/10/2016;29/01/2017;14/10/2016;29/01/2017;oui;non;;;;http://photos.infolocale.fr/infolocale/annonce/2016/0919/5261963/_1.jpg;La Vitrine;Abraham Hadad;http://photos.infolocale.fr/infolocale/annonce/2016/0919/5261963/_2.jpg;;Guy Brunet;http://photos.infolocale.fr/infolocale/annonce/2016/0919/5261963/_3.jpg;L'Estuaire;Camille Couturier;;;;;;;;;;;;;
07/11/2016;Cérémonies, commémorations;38;61/Alençon;Paroisse Notre-Dame au pays d'Alençon;Institution religieuse;39407;5304215;V;Pratique;Réunions formations cérémonies;Cérémonie, commémoration, religions;Célébration;107;Messes en semaine;;"8 h, chapelle du Carmel ; 8 h 30, chapelle des Clarisses (sauf lundi : 18 h 30) ; 18 h 30, basilique Notre-Dame le mardi, mercredi, jeudi et vendredi ; 12 h, chapelle de la Maison famille Martin (vendredi uniquement).";Du lundi 7 au samedi 12 novembre, Alençon.;Alençon;61;61001;61000;48.43065, 0.08362;18/10/2016;;;;07/11/2016;12/11/2016;07/11/2016;12/11/2016;non;non;;;;;;;;;;;;;;;;;;;;;;;;;
09/11/2016;Concerts;15;61/Alençon;La Luciole, scène de musiques actuelles;Association;170552;5090454;V;Loisir;Concerts, spectacles;Concert, spectacle musical;Autre;168;Jain;"Mercredi 9 novembre, 21h, La Luciole, 171, rue de Bretagne, Alençon. Tarif 30€, réduit 25€, autre : prévente : 28 € ; tarif solidaire : 12 €. Contact et réservation : 02 33 32 83 33, infos@laluciole.org, http://www.laluciole.org";;;Alençon;61;61001;61000;48.4327, 0.0686556;23/06/2016;09/11/2016;;;;;09/11/2016;09/11/2016;non;oui;30;25;"prévente : 28 € ; tarif solidaire : 12 €";http://photos.infolocale.fr/infolocale/annonce/2016/0511/5090454/_1.jpg;Jain;©Paul&Martin;;;;;;;;;;False;Visuel|Mental|Moteur;http://www.laluciole.org/billetterie/billetterie-en-ligne/;https://www.youtube.com/watch?v=KDXOzr0GoA4;;;;;;D'une enfance passée aux quatre coins du globe en lien aux obligations professionnelles de son père, JAIN en a gardé le meilleur. Du Congo à Adu Dhabi, de Madagascar à Dubaï, de Pointe-Noire à Toulouse en passant par Pau, JAIN a appris à grandir en toutes situations, en plein désert comme au beau milieu des gratte-ciel. De toutes ces émotions vécues au travers de ses nombreux voyages et du haut de ses 23 ans qui ont déjà traversé mille vies, JAIN, a su développer une soif de liberté à l'indépendance productive, tout en nourrissant une curiosité sans fin pour les rencontres, les cultures du monde et le mélange des genres. Depuis ses premiers pas à la guitare sous l'œil aguerri de Monsieur Flash, à l'apprentissage des loops et d'une MPC, tout en puisant dans ses carnets de notes où les mots s'engouffraient comme autant de petits cailloux semés, JAIN, a construit, petit à petit, de savoureux patchworks musicaux où les couleurs s'épanouissent pour ne servir qu'un même tableau. A l'image de son premier album « Zanaka » et d'une rencontre improbable du Buena Vista Social Club avec Kavinsky, JAIN séduit toutes les générations et s'affiche à guichets fermés avec une sensibilité naturelle, lumineuse et secrète, intense et légère à la fois. Un pur enchantement à l'ensoleillement vivifiant !
10/11/2016;Religion;50;61/Alençon;Paroisse Notre-Dame au pays d'Alençon;Institution religieuse;39407;5332009;V;Pratique;Réunions formations cérémonies;Cérémonie, commémoration, religions;Vie paroissiale;273;Célébration;Jeudi 10 novembre, 15h, Résidence Korian, rue de Bretagne, Alençon.;;;Alençon;61;61001;61000;48.43207, 0.0729776;04/11/2016;10/11/2016;;;;;10/11/2016;10/11/2016;non;non;;;;;;;;;;;;;;;;;;;;;;;;;
24/10/2016;Agriculture, environnement;22;61/Alençon;Hôtel de ville;Mairie;43129;5306748;V;Pratique;Vie quotidienne;Agriculture, environnement;Autre;193;Jeu de piste sur les déchets;;Le service déchets ménagers de la communauté urbaine propose un jeu de piste, sur les gestes de prévention et les actions réalisées. Il permet également de répondre à un questionnaire qui est à retirer à l’office de tourisme (de nombreux lots à gagner).;Du lundi 24 octobre au lundi 5 décembre, Centre-ville, Alençon. Gratuit. Contact : 02 33 32 40 11.;Alençon;61;61001;61000;48.43286, 0.091266;19/10/2016;;;;24/10/2016;05/12/2016;24/10/2016;05/12/2016;oui;non;;;;;;;;;;;;;;;;;;;;;;;;;
14/10/2016;Expositions, musées;23;61/Alençon;Office départemental de la culture;Équipement à but non lucratif (culture, sport et loisir);36181;5261940;V;Loisir;Voir visiter;Exposition, musée;Exposition;149;Le FDAC fête ses 30 ans;Exposition.;Le Fond départemental d'art contemporain est une collection publique riche de plus de 300 œuvres acquises auprès de quatre-vingt-quatorze artistes. Pour la première, possibilité de découvrir dans ces deux lieux alençonnais, tous les artistes qui constituent ce fond. Pour tout public.;Du vendredi 14 octobre 2016 au dimanche 29 janvier 2017, 9h à 17h30 et 14h30 à 18h, Hôtel du département, 27, boulevard de Strasbourg, Alençon. Gratuit. Contact : 02 33 81 60 00, 02 33 31 90 90, www.odc-orne.com;Alençon;61;61001;61000;48.43592, 0.0890776;19/09/2016;;;;14/10/2016;29/01/2017;14/10/2016;29/01/2017;oui;non;;;;http://photos.infolocale.fr/infolocale/annonce/2016/0919/5261940/_1.jpg;La vitrine;Abraham Hadad;http://photos.infolocale.fr/infolocale/annonce/2016/0919/5261940/_2.jpg;;Guy Brunet;http://photos.infolocale.fr/infolocale/annonce/2016/0919/5261940/_3.jpg;L'Estuaire;Camille Couturier;;;;;;;;;;;;;
07/11/2016;Menu;3;61/Alençon;Le restaurant de l'Hôtel de Cerisey;Association;167364;5316585;V;Loisir;Vie quotidienne;Menu (cantine scolaire, restaurant municipal);Menu;278;Hôtel de Cerisey, restaurant pour les plus de 60 ans;Menu.;Lundi : salade et feuilleté au fromage, pintade à l’estragon, petit pois-carottes, fromage, gâteau de semoule aux raisins. Mardi : champignons de Paris crus à la vinaigrette, carré de porc rôti, pommes campagnardes et patates douces, fromage et salade, éclair au café. Mercredi : museau vinaigrette, tête de veau, pommes vapeur, fromage et salade, tarte aux pommes maison. Repas à 7,80 €. Cuisiné sur place (régimes sans sel, sans gluten), tél. 02 33 32 08 48. Prochain repas à thème : Le pot-au-feu.;Du lundi 7 au mercredi 9 novembre, Hôtel de Cerisey, 1, rue de la Demi-Lune, Alençon.;Alençon;61;61001;61000;48.43283, 0.08575704;25/10/2016;;;;07/11/2016;09/11/2016;07/11/2016;09/11/2016;non;non;;;;;;;;;;;;;;;;;;;;;;;;;
